Busca pela chave 0: Comparações = 2, Tempo = 0.000000 milissegundos
Busca pela chave 13: Comparações = 17, Tempo = 1.000000 milissegundos
Busca pela chave 13: Comparações = 17, Tempo = 0.000000 milissegundos
Busca pela chave 13: Comparações = 17, Tempo = 0.000000 milissegundos
Busca pela chave 13: Comparações = 17, Tempo = 0.000000 milissegundos
Busca pela chave 13: Comparações = 1, Tempo = 0.000000 milissegundos
Busca pela chave 13: Comparações = 17, Tempo = 0.000000 milissegundos
Busca pela chave 13: Comparações = 17, Tempo = 0.000000 milissegundos
Busca pela chave 13: Comparações = 17, Tempo = 0.000000 milissegundos
Busca pela chave 13: Comparações = 17, Tempo = 0.000000 milissegundos
Busca pela chave 13: Comparações = 17, Tempo = 0.000000 milissegundos
Busca pela chave 5: Comparações = 17, Tempo = 0.000000 milissegundos
Busca pela chave 20: Comparações = 17, Tempo = 1.000000 milissegundos
Busca pela chave 5: Comparações = 17, Tempo = 0.000000 milissegundos
Busca pela chave 10: Comparações = 17, Tempo = 0.000000 milissegundos
Busca pela chave 6: Comparações = 17, Tempo = 0.000000 milissegundos
Busca pela chave 5: Comparações = 17, Tempo = 0.000000 milissegundos
Busca pela chave 1: Comparações = 17, Tempo = 0.000000 milissegundos
Busca pela chave 20: Comparações = 20, Tempo = 0.000000 milissegundos
Busca pela chave 20: Comparações = 20, Tempo = 0.000000 milissegundos
Busca pela chave 19: Comparações = 19, Tempo = 0.000000 milissegundos
Busca pela chave 6: Comparações = 18, Tempo = 0.000000 milissegundos
Busca pela chave 1: Comparações = 17, Tempo = 0.000000 milissegundos
Busca pela chave 20: Comparações = 20, Tempo = 0.000000 milissegundos
Busca pela chave 15: Comparações = 5, Tempo = 0.000000 milissegundos
Busca pela chave 20: Comparações = 20, Tempo = 0.000000 milissegundos
Busca pela chave 1: Comparações = 18, Tempo = 0.000000 milissegundos
Busca pela chave 1: Comparações = 13, Tempo = 0.000000 milissegundos
Busca pela chave 5: Comparações = 10, Tempo = 0.000000 milissegundos
Busca pela chave 7: Comparações = 17, Tempo = 0.000000 milissegundos
Busca pela chave 12: Comparações = 18, Tempo = 0.000000 milissegundos
Busca pela chave 1: Comparações = 4, Tempo = 0.000000 milissegundos
Busca pela chave 1: Comparações = 13, Tempo = 0.000000 milissegundos
Busca pela chave 15: Comparações = 18, Tempo = 0.000000 milissegundos
Busca pela chave 5: Comparações = 14, Tempo = 1.000000 milissegundos
Busca pela chave 2: Comparações = 9, Tempo = 0.000000 milissegundos
Busca pela chave 1: Comparações = 18, Tempo = 0.000000 milissegundos
Busca pela chave 1: Comparações = 10, Tempo = 0.000000 milissegundos
Busca pela chave 4: Comparações = 12, Tempo = 0.000000 milissegundos
Busca pela chave 1: Comparações = 10, Tempo = 0.000000 milissegundos
Busca pela chave 1: Comparações = 8, Tempo = 0.000000 milissegundos
Busca pela chave 1: Comparações = 16, Tempo = 0.000000 milissegundos
Busca pela chave 1: Comparações = 3, Tempo = 0.000000 milissegundos
Busca pela chave 1: Comparações = 14, Tempo = 0.000000 milissegundos
Busca pela chave 1: Comparações = 9, Tempo = 0.000000 milissegundos
Busca pela chave 1: Comparações = 18, Tempo = 0.000000 milissegundos
Busca pela chave 1: Comparações = 16, Tempo = 0.000000 milissegundos
Busca pela chave 1: Comparações = 4, Tempo = 1.000000 milissegundos
Busca pela chave 1: Comparações = 4, Tempo = 0.000000 milissegundos
